,March_1,March_2,April,May,Week46,Week47 ,Week48,Week49,Week50,Week51,Week52,Week53
420,0,0.741603321,0.741603321,0,0,0,0,0,0,0,0,0
421,0,0.675225209,0,0,0,0,0,0,0,0,0,0
422,0,0.264974199,0.264974199,0,0,0,0,0,0,0,0,0
423,0,0,0,0,0,0,0,0,0,0,0,0
424,0,0,0,0,0,0,0,0,0,0,0,0
425,0,0.043494237,0.043494237,0,0,0,0,0,0,0,0,0
426,0,0.7649921,0.7649921,0,0,0,0,0,0,0,0,0
427,0,0.759606627,0.741976404,0,0,0,0,0,0,0,0,0
428,0,0.58820925,0.109279018,0,0,0,0,0,0,0,0,0
429,0,0.619810451,0.619810451,0,0,0,0,0,0,0,0,0
430,0,0.628633448,0.628633448,0,0,0,0,0,0,0,0,0
431,0,0.7385519,0.7385519,0,0,0,0,0,0,0,0,0
432,0,0.348946087,0.347927053,0,0,0,0,0,0,0,0,0
433,0,0,0,0,0,0,0,0,0,0,0,0
434,0,0.593810869,0.592042436,0,0,0,0,0,0,0,0,0
435,0.210126815,0.332098282,0.324143308,0.182492711,0,0,0,0,0,0,0,0.142717246
436,0,0,0,0,0,0,0,0,0,0,0,0
437,0.650801562,0.729154031,0.686744996,0.689873681,0,0,0,0,0,0,0,0.648550054
438,0,0,0,0,0,0,0,0,0,0,0,0
439,0,0,0,0,0,0,0,0,0,0,0,0
440,0,0,0,0,0,0,0,0,0,0,0,0
441,0,0,0,0,0,0,0,0,0,0,0,0
442,0,0.2160063,0.2160063,0,0,0,0,0,0,0,0,0
443,0,0.102711123,0.036120803,0.02225956,0,0,0,0,0,0,0,0
444,0,0,0,0,0,0,0,0,0,0,0,0
445,0,0,0,0,0,0,0,0,0,0,0,0
446,0,0,0,0,0,0,0,0,0,0,0,0
447,0.693933663,0.8350095,0.8350095,0.8350095,0.424450579,0.424450579,0.424450579,0.424450579,0.424450579,0.424450579,0.424450579,0.424450579
448,0.642570775,0.802745428,0.675405892,0.642570775,0,0,0,0,0,0,0,0.642570775
449,0,0,0,0,0,0,0,0,0,0,0,0
450,0,0.617001732,0.617001732,0,0,0,0,0,0,0,0,0
451,0,0.002645525,0.002645525,0,0,0,0,0,0,0,0,0
452,0,0.73647613,0.73647613,0,0,0,0,0,0,0,0,0
453,0,0.636373287,0,0,0,0,0,0,0,0,0,0
454,0,0.201616391,0.201616391,0,0,0,0,0,0,0,0,0
455,0,0,0,0,0,0,0,0,0,0,0,0
456,0,0.066162325,0.066162325,0,0,0,0,0,0,0,0,0
457,0,0.40027125,0.40027125,0,0,0,0,0,0,0,0,0
458,0,0.743884619,0.743884619,0,0,0,0,0,0,0,0,0
459,0,0.718960179,0.708098028,0,0,0,0,0,0,0,0,0
460,0,0.57645784,0.336074686,0,0,0,0,0,0,0,0,0
461,0,0.508469574,0.508469574,0,0,0,0,0,0,0,0,0
462,0,0.606320294,0.606320294,0,0,0,0,0,0,0,0,0
463,0,0.7385519,0.7385519,0,0,0,0,0,0,0,0,0
464,0,0.298481298,0.225796243,0,0,0,0,0,0,0,0,0
465,0,0,0,0,0,0,0,0,0,0,0,0
466,0,0.551294139,0.546305126,0,0,0,0,0,0,0,0,0
467,0.201502921,0.392757705,0.386100401,0.17883064,0,0.151237354,0.151237354,0.151237354,0,0,0,0.151237354
468,0,0,0,0,0,0,0,0,0,0,0,0
469,0.622199099,0.679448626,0.643934812,0.632781443,0,0.603902496,0.603902496,0.603902496,0.603902496,0.603902496,0,0.603902496
470,0,0,0,0,0,0,0,0,0,0,0,0
471,0,0,0,0,0,0,0,0,0,0,0,0
472,0,0,0,0,0,0,0,0,0,0,0,0
473,0,0,0,0,0,0,0,0,0,0,0,0
474,0,0.2160063,0.2160063,0,0,0,0,0,0,0,0,0
475,0,0.135998177,0.049028779,0.028770282,0,0,0,0,0,0,0,0
476,0,0,0,0,0,0,0,0,0,0,0,0
477,0,0,0,0,0,0,0,0,0,0,0,0
